date,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed
2015-06-07,36.5,43.9,27.94,0.0,20.99,2.48
2015-06-08,38.25,45.9,29.52,0.0,15.93,2.74
2015-06-09,39.17,46.13,31.6,0.0,17.4,4.38
2015-06-10,36.94,41.78,32.15,0.0,28.88,5.72
2015-06-11,37.54,43.82,31.31,0.5,26.36,4.5
2015-06-12,37.42,43.79,31.04,0.0,30.43,3.82
2015-06-13,34.92,39.07,29.87,17.22,38.4,2.14
2015-06-14,33.34,38.93,27.75,1.97,41.4,1.66
2015-06-15,34.0,40.24,27.77,0.01,41.44,1.49
2015-06-16,34.27,40.17,28.13,0.0,39.89,1.3
2015-06-17,35.21,41.86,28.92,0.0,34.04,1.44
2015-06-18,36.48,42.51,30.18,0.16,27.94,0.95
2015-06-19,37.43,43.84,30.48,0.03,24.54,1.48
2015-06-20,37.04,42.4,31.21,0.73,33.33,2.09
2015-06-21,35.87,40.14,31.22,6.06,39.34,1.52
2015-06-22,35.37,39.96,30.16,1.1,41.82,1.06
2015-06-23,36.54,42.37,31.58,2.29,36.13,1.09
2015-06-24,34.75,40.07,29.16,0.88,35.92,1.85
2015-06-25,28.15,30.14,25.5,37.14,70.72,2.18
2015-06-26,32.14,39.3,24.52,0.0,45.71,3.18
2015-06-27,33.22,39.86,26.65,0.09,50.18,3.61
2015-06-28,34.63,41.69,27.14,0.0,42.43,2.6
2015-06-29,33.99,39.55,27.88,2.3,44.21,1.61
2015-06-30,32.42,37.52,26.49,23.91,56.14,0.92
2015-07-01,32.91,38.36,26.8,7.07,53.1,1.13
2015-07-02,33.18,38.65,27.74,0.21,47.9,1.84
2015-07-03,34.64,40.92,28.25,0.31,45.94,3.18
2015-07-04,35.16,40.67,30.01,0.24,44.58,3.77
2015-07-05,34.77,41.18,29.15,11.07,52.07,2.86
2015-07-06,32.65,36.64,28.15,15.92,59.65,1.98
2015-07-07,32.06,34.76,29.15,12.8,59.36,0.52
2015-07-08,32.38,35.65,28.91,5.99,57.21,0.66
2015-07-09,32.35,36.08,29.15,3.88,57.66,1.04
2015-07-10,29.55,32.39,27.07,39.58,72.84,1.96
2015-07-11,28.07,31.08,25.52,88.39,83.68,2.59
2015-07-12,28.23,30.69,25.63,14.58,84.73,3.24
2015-07-13,28.8,32.62,25.7,2.7,81.41,1.33
2015-07-14,29.63,34.04,25.26,0.79,75.47,2.48
2015-07-15,30.34,35.42,26.3,0.32,71.28,3.76
2015-07-16,30.64,36.16,25.54,0.23,68.61,2.89
2015-07-17,30.3,34.34,26.0,1.87,73.01,0.99
2015-07-18,30.82,34.6,26.29,1.8,71.25,0.88
2015-07-19,29.82,32.87,26.11,2.12,73.89,0.74
2015-07-20,29.73,32.67,26.71,2.53,74.55,0.66
2015-07-21,30.32,34.4,26.52,1.53,74.48,1.3
2015-07-22,29.93,33.79,26.3,0.75,77.49,1.46
2015-07-23,30.02,34.13,26.61,0.02,77.08,1.87
2015-07-24,30.15,34.62,26.33,0.25,73.64,1.71
2015-07-25,30.17,34.42,26.02,5.96,72.54,1.77
2015-07-26,29.36,34.05,26.22,2.31,76.13,3.74
2015-07-27,29.31,34.1,25.1,1.11,75.26,3.15
2015-07-28,29.28,34.75,24.79,0.05,68.73,2.78
2015-07-29,29.01,34.49,23.76,0.1,71.34,2.92
2015-07-30,30.35,35.38,25.67,0.06,68.04,2.48
2015-07-31,29.58,33.84,25.55,5.45,70.69,2.4
2015-08-01,29.27,33.91,25.57,1.41,71.7,1.87
2015-08-02,28.98,33.8,25.25,6.3,70.87,1.04
2015-08-03,28.81,32.23,24.87,0.05,73.28,1.22
2015-08-04,31.78,36.38,25.67,0.03,59.94,1.08
2015-08-05,32.46,36.57,27.65,6.08,60.28,0.95
2015-08-06,31.91,36.18,27.89,7.19,64.01,1.38
2015-08-07,30.7,35.34,26.59,10.4,71.19,1.59
2015-08-08,29.76,33.64,26.35,22.71,76.37,1.72
2015-08-09,28.2,31.27,25.61,24.49,82.51,1.82
2015-08-10,30.43,34.63,25.38,7.23,69.25,1.0
2015-08-11,29.89,34.18,26.79,11.25,75.39,1.16
2015-08-12,29.7,33.3,25.59,3.86,76.23,0.85
2015-08-13,30.42,34.27,26.53,1.19,70.9,0.68
2015-08-14,30.97,34.18,27.26,1.66,73.42,0.66
2015-08-15,30.18,33.0,27.37,16.96,77.49,0.94
2015-08-16,29.2,32.64,26.02,7.79,81.09,1.22
2015-08-17,29.81,33.8,25.5,1.93,75.36,1.37
2015-08-18,30.22,34.64,26.0,3.97,74.1,1.88
2015-08-19,29.33,33.54,25.65,8.02,75.38,3.0
2015-08-20,28.9,33.4,25.33,4.02,74.58,3.05
2015-08-21,28.41,32.8,24.19,12.68,75.86,2.49
2015-08-22,28.44,32.42,23.62,4.86,73.38,2.28
2015-08-23,28.02,31.69,23.99,30.19,80.34,2.09
2015-08-24,28.0,32.52,24.13,1.85,78.91,2.52
2015-08-25,28.34,33.6,23.9,0.0,73.54,2.67
2015-08-26,28.67,34.03,23.25,0.01,71.78,2.33
2015-08-27,29.05,33.66,23.58,10.03,69.88,1.35
2015-08-28,29.6,34.89,24.07,0.01,68.29,1.67
2015-08-29,29.47,34.98,24.49,5.38,70.99,1.93
2015-08-30,29.46,34.93,24.83,0.0,68.83,2.31
2015-08-31,28.7,35.1,23.14,0.78,66.0,2.74
2015-09-01,28.63,34.94,23.14,0.01,60.38,2.94
2015-09-02,28.29,35.11,22.37,0.01,58.17,2.66
2015-09-03,28.34,35.1,21.27,0.79,58.59,2.25
2015-09-04,28.1,35.93,21.34,0.01,53.54,2.21
2015-09-05,28.1,36.0,21.18,0.0,51.1,2.54
2015-09-06,28.6,36.29,21.55,0.0,50.86,2.43
2015-09-07,28.95,36.45,22.0,0.0,52.16,2.32
2015-09-08,29.19,36.93,22.27,0.0,51.16,2.83
2015-09-09,29.28,37.86,21.73,0.0,48.71,2.87
2015-09-10,29.13,37.39,21.84,0.0,46.31,2.39
2015-09-11,29.26,37.46,20.89,0.0,46.92,1.99
2015-09-12,30.55,37.91,23.43,0.07,43.63,1.1
2015-09-13,31.08,36.65,25.79,1.29,43.47,0.77
2015-09-14,31.81,38.55,25.12,0.08,38.72,1.13
2015-09-15,31.83,38.98,25.21,0.0,37.36,1.06
2015-09-16,31.16,37.74,24.08,1.5,42.25,0.77
2015-09-17,32.06,37.9,26.21,0.0,43.6,0.72
2015-09-18,29.72,34.06,25.12,11.66,58.25,1.51
